Trick Name,"Alternate
Name(s)",Categories,Definition,"Invented by /
 First Landed by","Year First
Landed","Reference Video Link
(original is best or clear example)","Reference 
 Time in Video",Prerequisite Trick,Optional Prerequisite Trick,"Entered /
 Last Edited by",NOTES:
Inward Varial kick flip,,"spin, flip",Inward varial flip but the wheel rotation speed is produced by a kick of the tire,,,,,Inward varial spin,out change kickflip,Emile Mathieu,
Inward Varial Roll,"53s, transfer varial roll",roll,A varial roll where your back leg wraps around the seat during the motion of moving to the outside crank position,Arthur Caron,,,0:53,,,Emile Mathieu,"Was originally named 53s as it was at the 53rd second in the video it was first shown. Read ""Samiaul's post https://forum.monocycle.info/viewtopic.php?f=20&t=5991&start=60"
Inward X Roll,,roll,X roll but the foot crosses in front of the seat rather than over,Emile Mathieu,,,,,,,
Ivar Coast,forward coast (as a sibbling to the sidecoast that is the same thing but body twisted so side faces traveling direction),coast,"no feet straight forward, hands like in a scuff",Tim Desmet,2017,https://youtu.be/-ntoatqpudg,0:09 and 0:28,,,Ivar Christenson,Tim Desmet made two revs before but through 2017 Ivar and also Ayrton took it from three revs to safety
Jelly Roll,,roll,"Begin on your front crank in outside crank position. Roll forward half revolution and rotate your body away from the uni (e.g., if you ride right foot in front, you will turn to your right) Your free leg goes over the tire, between the frame and your other leg, and that foot will land on the other crank in the inside crank position (this foot will be facing the opposite direction as your other foot) then roll a half revolution backwards",Jelle Dillen,,,,ludwig roll,,Trey Haun,not pronounced like Jelle's name. It is pronounced jelly.
Jump Mount,,mount,jump onto your uni!,,,https://youtu.be/rO5kkIwhCwk?si=bzsy8YrXNO1NLtW7,,,,Ivar Christenson,
Kick Flip,,flip,"no footer, kick the tire with your foot to initiate 1 wheel rotation, land back on pedals/cranks",Adrien Delecroix,2008,,,no footer,,Adrien Delecroix,
Kick Up Mount,,mount,"unicycle starts laying on ground, rider puts one foot on the pedal/crank and uses the other foot to kick/lift the saddle up to normal riding position, then rides away",,,,,,,Joe Smotherman,
King Flip,,"Spin, flip, varial",a full out flip and a 360 hoptwist in the same direction,Waylon Batt,,https://youtu.be/BRLKzOf0pvE?si=Pl-14C4Px6N2I-mO&t=13,0:13,prince flip,,Trey Haun,
Kinked Rail Grind,,grind,grind on a rail that changes from sloped to flat or sloped to a different degree of slope,,,,,,,Noli Ergas,
Knee bounce,Knee Brand,wild,Land with your upper shins on the tire,,,https://youtu.be/YoF1CfIYwVA?feature=shared&t=41,0:41,,,Trey Haun,the combo in the video example is 90 unispin / knee bounce / 270 unispin
Knee jam,,"jam, wild",jam one of your shins between the crown of the frame and the top of the tire,,,https://youtu.be/I2DMYyC3ENU?feature=shared&t=154,2:34,,,Trey Haun,
Knee Kick Flip,,"flip, spin","hick kick flip where the wheel rotation is produced by ""kicking"" the tire with your knee (the spot just under your knee, above your shin)",Dan Colvin,2015?,https://youtu.be/fmutQUyp0SI?feature=shared&t=104,1:44,hick kick flip,,Trey Haun,"""...may be one of the most disgusting tricks ever landed."" - Dan Colvin"
Knee step over ,,Roll,"Like a traditional step over, but your knee touches the tire instead of your foot",David Moscoe ,,https://youtu.be/hd1w8IruHpM?feature=shared&t=113,1:53,,,Trey Haun,
Lace Walk,,walk,,,,,,,,,
Late,,prefix,"trick begins after the rider and/or unicycle have left the ground, preferably at the peak or after the peak of the jump",,,,,,,Noli Ergas,
Leg Wrap,,wrap,"one foot leaves the pedal/crank/tire, wraps around seat, and lands back on pedal/crank/tire",,,,,,,Noli Ergas,
Leg Wrap Grind,,"wrap, grind",grind where one of the legs wraps around the seat mid-grind,,,,,leg wrap,,Noli Ergas,
Leg Wrap Swivel Grind,,"wrap, grind",swivel grind with a leg wrap,Shaffer Nickel,,,,"swivel grind, leg wrap grind",,Noli Ergas,
Levitation Roll,,,"a foot moves in contact with the tyre from around ground level up to the crown, moving the unicycle at the same time as causing the body on top of the foot to lift up, levitate, in a way",Pablo Codes,2015,https://youtu.be/MuRfiorpsx0,1:30,,,Ivar Christenson,
Lollipop,,basic,"crank stall where rider does a full wheel revolution with the crank and/or pedal constantly in contact with the obstacle; for half the revolution, the pedal is in contact with the obstacle, for the other half revolution, only a small portion of the crank is in contact as the wheel spins",,,,,,,Noli Ergas,
Ludwig Roll ,,roll,"a forward x roll where the seat is passing behind your back like in a rolling wrap, but your leg moves between the frame and the leg already standing on the crank",Ludwig Felhofer,,https://youtu.be/-ntoatqpudg,0:36,,,Trey Haun,
In flip under flip,Machleda,"spin, flip",In-flip + underflip,Michael Bachleda,Circa 2015-2016?,,,,,Jack Sebben,
Macro Spin,,"spin, varial",900 unispin + 180 body varial in the same direction,Eli Brill,,,,Mammoth spin,,Emile Mathieu,
Mammoth Spin,,"spin, varial",720 unispin + 180 body varial in the same direction,Christian Huriwai,,,,Huge spin,,Emile Mathieu,
Maxwhip,,whip,"feet leave pedals, seat is thrown backwards and whips around wheel one full revolution, feet land on pedals",Max Schulze,2010,https://vimeo.com/13113979,2:15,,,Noli Ergas,
Mega backside jump,mega backside,wrap,"from the outside crank position, jump up, bring free leg in front of the seat and wrap around behind the seat like for a backside jump, land back on pedals/cranks (typically done after a roll)",,,,,,,Trey Haun,"In the Unicycling Society of America Flatland Levels, mega side jump is listed as a trick in Level 8. However, by the definition they give this is actually mega backside jump, a different trick from mega side jump."
Mega side jump,mega side,wrap,"from the outside crank position, jump up, bring free leg behind the seat and wrap around in front of the seat like for a side jump, land back on pedals/cranks (typically done after a roll)",,,,,,,Trey Haun,
Monkey,monkey handstepover,handstepover,Both feet passing between arms in same direction as one hand holds the tire and one the saddle,Ivar Christenson,2017,https://youtu.be/xAYNzh54yhM,0:35,,,Ivar Christenson,
monkey jump,,,Jump both feet between hands holding saddle on each end,Elias Pöham,,,,,,Ivar Christenson,
monkey kick,,flip,"HOW with one of the feet pushing on the tire to make the wheel rotate 1 revolution, land back to pedals",,,,,,,Emile Mathieu,
monkey kick on tire,,flip,Monkey kick but land back to tire,,,,,Hop on Wheel,,Emile Mathieu,
Ninth Flip,ninth,"Spin, Flip",900 Unispin + Crankflip,Adrien Delecroix,,https://youtu.be/4TmK5XZZkZ0,0:00,Sej flip,,Michael Bachleda ,
Ninth Side Flip,Ninth side,"Spin, wrap, flip",900 side spin + crank flip,,,,,sej side flip,900 side spin,Trey Haun,
No Footer,,basic,"feet leave pedals, feet return to pedals",,,,,,,Noli Ergas,
No Footer Tire Grab,,basic,no footer + tire grab,,,,,no footer,,Noli Ergas,
No Hander,Condor,basic,hop where seat hand is released and both arms are stretched out to the side while in mid-air,,,,,,,Noli Ergas,
One foot,One footed riding,"Ride, basic",Ride with one foot,,,,,"riding, idling",,Ivar Christenson,
one foot coast,,coast,roll,,,,,One foot,,Emile Mathieu,
One footed wheel walk,One foot wheel walk,walk,Wheel walk with one foot on the frame and the other one on the tire propelling the unicycle forward,,,,,wheel walk,,Emile Mathieu,
One Footer,,basic,"hop, while in the air one foot leaves the pedal, return free foot to pedal upon landing",,,,,,,Noli Ergas,
One footer overflip,,"basic, flip",One footer + overflip,,,,,"one footer, over flip",,Jelle Dillen,
Out,,prefix,"spin trick that starts from seat in between the rider's legs (""seat in"")",,,,,,,Noli Ergas,
Out 540 unispin,,spin,540 unispin from seat in,,,,,540 unispin,fullout spin,Nakul Mohakar,
Out 720 unispin,"out 7, out 7 spin",spin,720 unispin from seat in,Eli Brill?,,,,Out 540 unispin,720 unispin,Emile Mathieu,
Out antiside over flip,,"spin, flip, wrap","outspin toward front foot, kick front pedal with front foot (over flip), wrap other leg around seat",Levi Prindle,2025,https://youtu.be/Z5mJmUUEMZQ?si=my7gYsCQxQlL0fq3&t=157,2:37,"out over flip, antiside spin",,Trey Haun,
Out Back Flip,out back,"spin, flip",out flip with backwards wheel rotation,,,,,"out spin, back crank flip",,Emile Mathieu,
Out backside spin,,"spin, wrap","starting seat in, jump up, spin 180 degrees out from behind your leg, land back on pedals with seat out in front of you",,,,,180 unispin,,Nakul Mohakar,
out backside flip,,"spin, wrap, flip",out backside spin + crank flip,,,,,out backside spin,,Trey Haun,
out backside double flip,,"spin, wrap, flip",out backside spin + double flip,,,,,out backside flip,,Trey Haun,
out backside triple flip,,"spin, wrap, flip",out backside spin + triple flip,,,,,out backside double flip,,Trey Haun,
out backside overflip,,"spin, wrap, flip",out backside spin followed by an over flip,Scott Julian,2024,,,out backside spin,,Trey Haun,First landed by Scott Julian and Levi Prindle in the same session at UniCon21
Out double back flip,,"spin, flip",Out back flip with 2 wheel rotation,,,,,out back flip,,Emile Mathieu,
Out double flip,,"spin, flip",Out flip with 2 wheel rotation,,,,,out flip,,Emile Mathieu,
Out Fifth Back Flip,out fifth back,"spin, flip",Fifth back flip from seat in,,,,,full out back flip,,Emile Mathieu,
Out Fifth Double Flip,,"spin, flip",fifth double flip from seat in,,,,,out fifth flip,,Emile Mathieu,
Out Fifth Flip,,"spin, flip",fifthflip from seat in,,,,,full out flip,,Emile Mathieu,
Out Fifth Triple Flip,,"spin, flip",fifth triple flip from seat in,Michael Bachleda,,,,out fifth double flip,,Emile Mathieu,
Out Flip,,"spin, flip",out spin + crank flip,,,,,"Out spin, crank flip",,Noli Ergas,
Out Fourth flip,,"spin, flip",out 450 + crankflip,,,,,,,Jelle Dillen,
Out Fourth doubleflip,,"spin, flip",out 450 + doubleflip,Karel Dyselinck?,2021,,,out fourth flip,,Jelle Dillen,
Out ninth flip,out ninth,"spin, flip",ninth flip from seat in,,,,,out sej flip,,,
Out quad flip,,"spin, flip",Out flip with 4 wheel rotation,,,,,out triple flip,,Emile Mathieu,
Out Over In Flip,,"spin, flip","outspin, underflip, inspin opposite direction",Manuel Vetter?,2016,https://youtu.be/l8gaGq44ozc?si=VItwFuDkTgbP-meb&t=31,,x up under flip,,Trey Haun,
Out Sej Double Flip,out sej double,"spin, flip",720 unipsin + double flip from seat in,Waylon Batt,,,,out sej flip,,Emile Mathieu,
Out Sej Flip,out sej,"spin, flip",720 unipsin + flip from seat in,Eli Brill,,,,out fifth flip,,Noli Ergas,
Out sex change,out change,"varial, flip",Sex change from seat in,,,,,out flip,,Emile Mathieu,
Out sex change backflip,out change back,"varial, flip",Sex change from seat in with backwards wheel rotation,,,,,out back flip,,Emile Mathieu,
Out Spin,,spin,180 unispin starting seat in,,,,,180 unispin,,Emile Mathieu,
Out triple flip,,"spin, flip",Out flip with 3 wheel rotation,,,,,out double flip,,Emile Mathieu,
outisde crank jam,,jam,"When the rider jams his foot on the crank, with the outside of his foot towards the frame",,,,,inside crank jam,,Emile Mathieu,
Outside inward varial stepover roll,,"roll, stepover","First half outsideroll forward, then put free foot on tire/crown to step up on it as you twist your body 180 degrees, then finish like your standard back roll stepover",Bobousse perhaps? ,,https://m.facebook.com/story.php?story_fbid=10155465618552879&id=779872878,0:23,"outside roll, back roll step over",,Trey Haun,
outside jam,,jam,"When the rider jams his foot on the tire, with the outside of his foot towards the frame",,,,,inside jam,,Emile Mathieu,
Outside Push Mush,,roll,"Ideling on crank, outside position, pushing wheel in both directions",,,,,Push Mush,,,
Outside Roll,,roll,"Standing on outside crank pointing forward, push tire once to move half rev forward, push tire second time and lift standing foot at the same time (little jump) half rev forward",,,,,,,Ivar Christenson,
Outside roll flip,,roll,"Outside roll where the second half is a jump in where the wheel rotates, most standard 1,5 revolution crankflip",,,,,"Outside roll, back roll flip",,Ivar Christenson,
Over Blunt Grind,,grind,grind where mid-grind the wheel goes over the obstacle and the opposite crank/pedal grinds the other side of the obstacle,Kevin McMullin,,https://youtu.be/Kr4S5UwWKR8,1:41,,,Kevin McMullin,
Over Double Flip,,flip,Over flip with 2 rotations,,,,,over flip,,Emile Mathieu,
Over Flip,,flip,"feet leave the pedals, while the unicycle wheel is in mid-air, the rider's front foot kicks the forward pedal causing the wheel to do one rotation forwards, feet land on pedals",,,,,no footer,,Noli Ergas,
Over Triple Flip,,flip,Over flip with 3 rotations,Maxime Peabody,,https://www.youtube.com/watch?v=hd1w8IruHpM,2:56,over double flip,,Emile Mathieu,
Pedal Flip,,basic,pedal is spun on its axle by either foot or hand,,,,,,,Noli Ergas,
Pedal grab,,basic,Jumping with the pedal landing on an obstacle ,,,,,,,Noli Ergas,
Pedal Stall,,basic,landing on an object with the pedal and spending a moment in this position,,,,,,,Noli Ergas,
Pick Up Mount,,mount,,,,,,,,Noli Ergas,
Popcorn Flip,,flip,,,,,,,,,
Pre-Hop,,basic,"smaller hop made to compress the tire upon landing, enabling a larger second hop using the rebound of the tire",,,,,,,Noli Ergas,
Pressure Flip,,flip,"feet leave pedals, push the unicycle forward on the ground to initiate wheel rotation, lift uni so that wheel completes rotation in the air, feet land on pedals",Dan Colvin,2014,https://www.youtube.com/watch?v=kpa6tYsnq-k,1:11,crank flip,,Noli Ergas,
Prince Flip,,"flip, twist, spin",360 hoptwist + out flip in the same direction,,,https://youtu.be/2d09i4FEmmw?si=rI7dPA4n7fCLBIKV&t=104,1:44,varial flip,,Trey Haun,
The Prindle*,"Pringle, Prindle Backside",wild,"jump off the pedals and let the unicycle fall to one side, catching the seat with one foot and the other foot on the crank. Then launch the seat to the other side, behind your leg, so that it does a 180 backside spin. Then catch the seat when you land back on the pedals/cranks",Levi Prindle?,,,,"kick up mount, out backside spin",,Trey Haun,*naming yet to be confirmed by the creator
Push Mush,,roll,"Ideling on crank, inside position, pushing tire in both directions",,,,,inside crank jam,,Noli Ergas,
Quad Back Flip,,flip,crank flip where wheel does 4 revolutions forward,Adrien Delecroix,2010,,,Triple back flip,,Adrien Delecroix,
Quad Flip,Quad,flip,Crank flip with 4 rotations,Loic Baud,2008,,,Triple flip,,Adrien Delecroix,
Quad Leg Wrap,,wrap,four leg wraps in a row,,,,,triple leg wrap,,Trey Haun,
Quad Swivel Grind,,grind,pedal grind where wheel does 4 full revolutions during grind,Noli Ergas,,,,triple swivel grind,,Noli Ergas,
Quint Flip,Quint,flip,Crank flip with 5 rotations,Christian Resch? or Eli Brill?,,,,quad flip,,Emile Mathieu,
Quint Swivel Grind,,grind,pedal grind where wheel does 5 full revolutions during grind,Noli Ergas,,,,quad swivel grind,,Noli Ergas,
Rail Ride,,wild,"jump to sloped rail, tire lands on rail, rider rides the entirity or portion of the rail",,,,,,,Noli Ergas,
The Rapture,,"spin, wrap, flip","start a full-out-backside-spin, then after 180 degrees you kick the front pedal with your back foot to initiate a crank flip, then complete the spin with the last 180 degrees and land back on pedals",Scott Julian,,https://youtu.be/2d09i4FEmmw?si=9VlxTjE1V6wYITtr&t=197,3:17,fullout backside spin,,Trey Haun,
Rear Tire Grab,,basic,hop with free hand grabbing rear side of tire in mid-air,,,,,tire grab,,Noli Ergas,
Rev,,rev,"wheel leaves ground, feet pedal the wheel through one revolution, wheel lands on ground",Adam Ryznar,,,,,,Noli Ergas,
Rev Backrev,,rev,Rev then back Rev before landing on the ground,Christian Huriwai,,,,"rev, back rev",,Jelle Dillen,please we need the video of this one
Rev double flip,Revdouble,"Rev, flip","Hop, do a half rev,then let go of the pedals so they flip 2,5 rotations, land",,,,,revflip,,Loïc Miara,
Rev Fullout flip,rev fullout,"rev, flip, spin","hop, do a half rev, then let go of the pedals so they flip 1.5 revolutions while spinning 360, land",Maxime Peabody,,,,revflip,,Trey Haun,
Rev triple flip,,"Rev, flip","Hop, do a half rev, then let go fo the pedals so they flip 3,5 rotations, land",Mimo Seedler,2022,https://www.youtube.com/live/cWC3CfPkY8w?feature=shared&t=13581,,rev double flip,,Trey Haun,
Reverse Jelly Roll,,,,Dan Colvin?,,,,,,Trey Haun,
Reverse Miyachi Roll,,,,,,https://youtu.be/qluie7Pbd3E?si=s-Ho_sPFJA4_XUww&t=191,3:11,,,Trey Haun,
Reverse Rolling Wrap,"back rolling wrap, backwards rolling wrap",roll,"starts similar to a backroll, but your hand should be on the handle of the seat. after the first half roll backward, the free foot (front foot) goes to the other crank. The seat is passed behind your back to your other hand and there will be a moment when both feet are on the cranks and both hands are on the seat. Then pass the seat to your other hand as your front foot rolls the second half revolution backward (this may sound like a very complicated explanation but just imagine a rolling wrap in reverse)",,,https://youtu.be/QkvT4tQBISw?feature=shared&t=116,,"rolling wrap, back roll",,Trey Haun,
Reverse Side Jump,,wrap,"both feet leave pedals, one leg wraps inward around seat, feet land on pedals",,,,,,,,
Reverse Side Flip,,"wrap, flip",reverse side jump + crankflip,Ludwig Felhofer,2012,https://www.youtube.com/watch?v=xoS1vFw7akY,1:55,reverse side jump,,Ludwig Felhofer,
Reverse Storm Roll,,roll,storm roll done in the reverse order,Emile Mathieu,2013,https://www.youtube.com/watch?v=xAWihuGItns,0:00,,,Emile Mathieu,
Revflip,,"Rev, flip","Hop, do a half rev,then let go of the pedals so they flip 1,5 rotations, land",,,,,rev,crank flip,Loïc Miara,
Rewind,,flip,"hop, wheel leaves ground and initiates a crankflip, then once the wheel is fully around use your free hand to pull the wheel in the opposite direction until it is back to where it started, land.",Forrest Rackard,2011,https://www.youtube.com/watch?v=zVjzzimyqUw,1:34,crank flip,,FAR,
Riding,,basic,pedaling while maintaining balance,,,,,,,Nakul Mohakar,
Rhythm Roll,,roll,"with seat in front, roll forward a half revolution on the front crank, then place other foot on the other crank and roll the second half revolution forward",,,,,Push Mush,,Trey Haun,
Robot Walk,Footed Swivel Grind,grind,pedal grind where wheel does one full revolution during grind and both feet stay on pedals at all times,,,,,,,Emile Mathieu,As seen in Universe 2
Rolling,,prefix,indicates trick is done while riding forward (as opposed to static),,,,,,,Emile Mathieu,
Rolling Mount,,mount,mounting the unicycle while walking forward without stopping the wheel,,,,,,,Noli Ergas,
Rolling Wrap,wrap roll,roll,"a rhythm roll and seat wrap happening simultaneously (half roll forward while wrapping the seat away from your front foot, behind your back. As you switch the seat to your other hand behind your back, your free foot moves to the other crank. Do the second half roll with that other foot while wrapping the seat back around in the same direction, and end with the seat in front of you)",Dan Heaton,,,,Rhythm Roll,,Trey Haun,"While wrap roll can be used as an alternate name for rolling wrap, it can also refer to a different roll... see Wrap Roll below"
Rolloroll,crankcoast,"roll, coast, toetwist",rolling through the half of the rev where the crank points upwards by standing on the rollodisc,Ivar Christenson,2017,https://youtu.be/0b-Ggx_YnZg,,,,Ivar Christenson,
Schulze Walk,,walk,propell unicycle forward with feet on cranks and seat in back,Max Schulze,,,,"Rolling Wrap, Rhythm Roll",,Noli Ergas,
Scissor Backside Flip,Scissor Backside,"spin, flip, wrap","out backside spin around one leg followed by a backside jump around other leg, with a crankflip happening simultaneously ",Eli Brill,2023,https://www.youtube.com/watch?v=GpR2xIKQR1E,,,,Trey Haun,
Scissor Flip,,flip,,Eli Brill,,,,,,Noli Ergas,
Scissor Side Spin,Scissor Side,"spin, wrap",180 side spin around one leg followed by 180 side spin around the other leg (opposite spinning direction),Eli Brill,,https://youtu.be/vn_hHoIKoiQ?feature=shared&t=363,,,,Trey Haun,"If you know of a better video example of the Scissor Side spin, please feel free to replace the video link"
Scoop Flip,,flip,"foot plant on obstacle, hit pedal on an obstacle to initiate wheel rotation, wheel does one rotation, land on pedals",Connor Wurst,,,,,,Noli Ergas,
Scuff coast,,coast,One footed seat in front backwards coasting,,,,,Scuff Walk,,Emile Mathieu,
Scuff coast toetwist,,Coast,Transition between scuff backwards inside to outside forward or from backwards outside to inside forward by twisting around on your toes on the crown,Pablo Codes,2018,https://www.instagram.com/p/BgZNWmBnMjA/,,Scuff Coast,,Ivar Christenson,
Scuff glide,,glide,One footed seat in front backwards gliding,,,,,,,Ivar Christenson,
Scuff walk,,walk,Repeted short scuffglides powered by kicks on the wheel,,,,,,,Ivar Christenson,
Seat bounce,,basic,"starting seat out in front with feet on cranks or pedals, throw the seat forward so that the handle hits the ground and the seat bounces back up (SEE NOTE)",,,,,,,Trey Haun,"WARNING: while this trick can be addictively fun and entertaining, do not do it too much or you can shatter your seat handle!"
Seat drag,,basic,Riding with the seat dragging on the ground behind you,,,,,,,,
Seat drop,,basic,"standing with feet on cranks, angle your front foot into the spokes/wheel a little bit, so that when you let go of the seat and allow it to drop forward, your foot stops it at about a 45° angle. See how long you can balance before grabbing the seat back up again",,,,,,,Trey Haun,
Seat Drop Grind,,grind,grind where a seat drop is performed mid-grind,,,https://www.youtube.com/watch?v=tAM2s-cgiqk,2:12,,,Noli Ergas,
Seat grab,,basic,"lands on a object with the saddle, so it supports the rider, like a pedal or crank grab",Elias Pöham,,https://www.youtube.com/watch?v=hw7AJ3DH70k,1:52,,,Joe Smotherman,
Seat In,SI,prefix,"the seat is ""in"" between the rider's legs",,,,,,,Emile Mathieu,
Seat In Back,SIB,prefix,seat in behind; seat not between the riders' legs,,,,,,,Emile Mathieu,
Seat In Front,,prefix,"trick that initiates with the seat in front of the rider, not between the rider's legs",,,,,,,Noli Ergas,
Seat In Front Hop,,basic,hop with the seat in front of the rider,,,,,,,Noli Ergas,
Seat Out,"Seat in Front, SIF",prefix,seat is in front; seat is NOT in between the rider's legs,,,,,,,Emile Mathieu,
Seat pivot,,Pirouette,Only seat is in ground and you spin,,,,,,,Ivar Christenson,
Seat push,Drag seat in front,basic,Riding with the seat being pushed on the ground in front of you,,,,,,,,
Seat Whip,Whip,whip,"When the seat(and frame) whips around the wheel, forward or back (the wheel is not rotating)",,,https://www.youtube.com/watch?v=OesxG6dY8MQ,,,,Trey Haun,
Seat Whip Crank Grab,,whip,"When the seat(and frame) whips around the wheel, forward or back, while one or both of the cranks are on an obstacle",Dan Heaton,,https://www.youtube.com/watch?v=tAM2s-cgiqk,1:14,,,Noli Ergas,Dan Heaton landed this from crank grab
Seat Whip Grind,,"grind, whip",grind with a seat whip done mid-grind while the cranks stays in contact with the ledge/rail,Matty Porter,,https://www.youtube.com/watch?v=IKP8G4K7xnA,2:48,,,Noli Ergas,
Seat Wrap,,wrap,leg around (leg 1) to seat in back to leg around (leg 2),,,,,,,Emile Mathieu,
Secret Side,,"spin, wrap","unispin where seat of the unicycle wraps around behind both legs (to the side, behind, other side, and back in front). Basically, a sidespin followed by a backside spin, in the same jump",Krisz Kovacs,,,,,,Trey Haun,
Secret side flip,,"wrap, flip",secret side jump + crank flip,,,,,,,Trey Haun,
Secret side jump,,wrap,"jump off pedals, seat wraps around one leg, behind both legs, back in front (no spin of seat)",Mario Bel,,,,,,Trey Haun,
Sej double flip,Seventh Double flip,"spin, flip",720 unispin + double flip,Felix Aspalter,,https://www.youtube.com/watch?v=w_cO5c0sjLE,,sej flip,,Emile Mathieu,
Sej flip,Seventh Flip,"spin, flip",720 unispin + crank flip,Shaun Johanneson,,,,fifth flip,,Emile Mathieu,"Shaun Johanneson landed it first and named it SEJ flips. It stands for Shaun Eric Johanneson flip. Although it was clearly done by Shaun first and he clearly stated the name of the tricks, some riders insist on calling the trick seventh flip."
Sej quad flip,Seventh Quad Flip,"Spin, Flip",720 unispin + quad flip,Colby Thomas,,https://www.youtube.com/watch?v=Q7TkW3YBLxI,1:18,sej triple flip,,Emile Mathieu,
sej triple flip,Seventh Triple Flip,"Spin, Flip",720 Unispin + triple crankflip,Colby Thomas,,https://youtu.be/C8zBHl7i_dg,1:00,sej double flip,,Michael Bachleda,
sej secret side flip,seventh secret side,"spin, flip, wrap",720 secret side + crank flip,,,https://youtu.be/1ZUtTN5lwyQ?feature=shared&t=218,3:38,fifth secret side flip,,Trey Haun,
sej side flip,seventh side flip,"spin, flip, wrap",720 side spin + crank flip,,,https://youtu.be/eYGtxf5dkLI?feature=shared&t=58,0:58,fifth side flip,720 side spin,Trey Haun,
Sej side double flip,sej side double,"spin, flip, wrap",720 side spin + double flip,Stephane Ranc,,https://www.youtube.com/shorts/myKr9irF8v4,,sej side flip,,Trey Haun,
Sex Change,,"varial, flip",body varial + crank flip,Shaun Johanneson,,http://www.relentlessbyfate.com/tricks.php,,hick flip,,Emile Mathieu,This trick has a weird name as it's a flip trick but does not finish with the word flip
sex change back flip,sex change back,"varial, flip",Sex change with backwards wheel rotation,,,,,hick back flip,,Emile Mathieu,
Sex Change Double Flip,,"varial, flip",body varial + double flip,,,,,sex change,,Emile Mathieu,
Sex change kick flip,,"spin, flip",Sex Change but the wheel rotation speed is produced by a kick of the tire,,,,,hick kick flip,,Emile Mathieu,
Sex Change Triple Flip,,"varial, flip",body varial + triple flip,,,,,sex change double flip,,Emile Mathieu,
Sext flip,,flip,"Hop, cranks flip for 6 revolutions, land",Kevin Gaudillère,,,,quint flip,,Loïc Miara,Done off of a ledge
Shiftie,,basic,hop where the wheel is twisted perpendicular to the direction of travel in mid-air and returned to the plane of travel upon landing,,,,,,,Noli Ergas,
Side,,prefix,both legs of rider are on one side of the unicycle during or at some point duirng the trick,,,,,,,Noli Ergas,
Side coast,,coast,"hands on saddle, feet in air, side of body facing the direction coast is traveling",,,,,,,Ivar Christenson,
Side Double Flip,,"wrap, flip",side jump + double crank flip,,,,,side flip,,Emile Mathieu,
Side Flip,,"wrap, flip",side jump + crank flip,,,,,"side jump, crank flip",,Noli Ergas,
Side Hop,,basic,"Hopping with one foot on the opposite pedal. The other leg is crossed behind you on the tire, or ext.",,,,,,,,
Side Jump,,wrap,"both feet leave pedals, one leg wraps around seat, feet land on pedals",,,,,leg wrap,,Noli Ergas,
Side Jump Mount,,"mount, wrap",,,,,,jump mount,,,
Side Mount,"Ladies mount, leg around mount",mount,"one feet on pedal in lowest position, step up and move leg via the front of your seat to the other pedal",,,https://youtu.be/XZcMi30vvAg?si=LYjCK70LuM4oJwXe,,,,,
Side Quad Flip,in-in side quad,"wrap, flip",quad flip + side jump,Levi Prindle,,https://youtu.be/Z5mJmUUEMZQ?si=-82Bq-ZWcrXHfxwp&t=179,2:59,side triple flip,,Trey Haun,
Side Ride,,Ride,on the side of unicycle riding one foot (with foot that is closest to the wheel) ,,,,,,,Ivar Christenson,
Side Triple Flip,,"wrap, flip",side jump + triple crank flip,Stereim (real name?),,,,side double flip,,Emile Mathieu,
Sideways Wheel Walk,"side walk, crab walk",Walk,"Standing on the tire, unicycle perpendicular to the rider, wheel walk",,,,,,,Emile Mathieu,
Small flip,,"twist, spin, flip",Small spin + flip,,,,,"small spin, crank flip",,Emile Mathieu,
Small side flip,,"twist, spin, flip",Small side spin + flip,,,,,"small side spin, crank flip",,Emile Mathieu,
Small side spin,,"twist, spin",Small spin + side,,,,,"180 side spin, 180 body varial",,Emile Mathieu,
Small Spin,,"twist, spin",180 unispin + 180 body varial in the same direction,,,,,"180 unispin, 180 body varial",,Emile Mathieu,
Smiley Walk,,walk,"Seat in back wheel walk, while supporting your weight in your arms",Ryan Woessner,,,,,,August Agerskov,
Spencer Flip,,"bc wheel, flip","On BC wheel, start riding upstairs, jump off the platforms, and land back on them after they've flipped down to the normal position",Spencer Hochberg,,,,Upstairs,,Nick Braun,
Stand up backwards wheel walk,Stand up koosh,walk,Standing on the frame while one foot pushes you backwards (the foot is behind the frame),,,,,,,Emile Mathieu,
Stand up gliding,,"walk, coast",Stand up wheel walk with enough speed that the tire glides underneath the rider's foot,,,,,,,Emile Mathieu,
Stand up wheel walk,Stand up,walk,Standing on the frame while one foot pushes you forwards (the foot is in front of the frame),,,,,,,Emile Mathieu,
Static,,prefix,indicates trick begins from a static position (i.e. the unicycle is not rolling forwards or backwards),,,,,,,Noli Ergas,
Static Trey Quad,,"flip, spin",360 unspin + Quad Crankflip (from static position),Jack Sebben,2023,,,Static Trey Triple,,Jack Sebben,
steeze coast,,coast,A coast started from the steeze jam position,,,,,steeze jam,,Emile Mathieu,
Steeze Hands,,wild,"placing the hands behind the head upon the completion of a trick, hence increasing the level of steaze",,,,,,,Noli Ergas,
steeze jam,,jam,Basically an outside jam with 2 feet,,,,,outside jam,,Emile Mathieu,
Stillstand,,"basic, balance",staying in one place on the unicycle without idling or hopping,,,,,,,Noli Ergas,
